1,"روان شناسی",ravanshenasi,"<p>روانپزشک کیست؟<br />
روانپزشک، فردی است که در زمینه سلامت روان تخصص دارد. تشخیص و درمان افراد مبتلا به بیماری&zwnj;های روانی در تخصص آنها است. آنها درک عمیقی از سلامت جسمی و روانی انسان داشته و به خوبی با ارتباط این دو آشنا هستند. روانپزشکان به بیماران مبتلا به اسکیزوفرنی، افسردگی، اختلال دوقطبی، اختلالات خوردن و اعتیاد کمک می&zwnj;کنند.<br />
روانپزشکان چه کاری انجام می دهند؟<br />
روانپزشکان علائم روانی و جسمی شما را ارزیابی می&zwnj;کنند. آنها مشکل شما را تشخیص می&zwnj;دهند و با همکاری متقابل، طرحی برای درمان شما ارائه می&zwnj;دهند. روانپزشکان، درمان روانشناختی ارائه می&zwnj;دهند، دارو تجویز می&zwnj;کنند و از الکتروشوک برای درمان کمک می&zwnj;گیرند.<br />
روانپزشک برای درمان از اقدامات زیر استفاده می&zwnj;کند:</p>

<p>به بیمار در مدیریت سلامت روان در درازمدت کمک می&zwnj;کند</p>

<p>در مورد سبک زندگی مشاوره می&zwnj;دهد</p>

<p>با شما به صورت جداگانه یا با همراهی شریک زندگی&zwnj;تان، کار می&zwnj;کند</p>

<p>از نظرات و پیشنهادات سایر پزشکان و متخصصان بهداشت روانی استفاده می&zwnj;کند</p>

<p>شما را به متخصصان دیگر ارجاع می&zwnj;دهد</p>

<p>در صورت لزوم، شما را در بیمارستان بستری می&zwnj;کند</p>

<p>روانپزشک به چه کاری می&zwnj;آید؟<br />
اگر سلامت روانی شما با مشکلات زیر روبرو شده است، به یک روانپزشک نیاز دارید:</p>

<p>وضعیت روانی شما پیچیده و تشخیص آن دشوار است</p>

<p>به خودکشی فکر می&zwnj;کنید</p>

<p>به طور ناگهانی دچار مشکل روانی شده&zwnj;اید</p>

<p>به داروهایی نیاز دارید که تنها روانپزشک می&zwnj;تواند تجویزشان کند</p>

<p>پزشک خانوادگی نمی&zwnj;تواند به شما کمک کند.</p>

<p>دلایل متداول برای مراجعه به روانپزشک عبارتند از:</p>

<p>مشکلات مربوط به تغییر سبک زندگی یا استرس</p>

<p>اضطراب، نگرانی یا ترس شدید</p>

<p>افسردگی یا خستگی مفرطی که از بین نمی&zwnj;رود</p>

<p>فکر کردن به خودکشی</p>

<p>فکر کردن به آزار دیگران</p>

<p>آسیب رساندن عامدانه به خود</p>

<p>داشتن انرژی بیش از حد، ناتوانی در خواب یا استراحت</p>

<p>داشتن افکار منفی تکرارشونده</p>

<p>تفکر وسواسی</p>

<p>حس قرار داشتن بر لبه پرتگاه</p>

<p>احساس اینکه همه دنبال شما هستند یا می&zwnj;خواهند به شما آسیب بزنند</p>

<p>توهم (شنیدن یا دیدن چیزهایی که وجود ندارند)</p>

<p>هذیان (اعتقاد به چیزهایی که مبنای واقعی ندارند)</p>

<p>افکار از هم گسیخته</p>

<p>مصرف غیرعادی الکل یا مواد مخدر</p>

<p>اعتیاد به قمار، بازی و رفتارهای مشابه</p>

<p>مشکلات مربوط به تصویر بدن، خوردن یا رژیم غذایی</p>

<p>مشکلات حافظه</p>

<p>عدم تمرکز و توجه، بیش فعالی</p>

<p>خشونت، تحریکپذیری و طغیان احساسی</p>

<p>بی خوابی و سایر مشکلات خواب</p>

<p>عارضه&zwnj;هایی که در دوران کودکی آغاز می&zwnj;شوند، مانند اوتیسم، ناتوانی ذهنی و اضطراب.</p>

<p>روانپزشکان چه درمان&lrm;&zwnj;هایی را ارائه می&zwnj;دهند؟</p>

<p>دارو درمانی</p>

<p>درمان روانی (روان درمانی یا گفتاردرمانی)</p>

<p>شیوه&zwnj;های درمان به کمک تحریک مغز، مانند الکتروشوک.</p>

<p>آنها همچنین توصیه هایی در خصوص رژیم غذایی، خواب و غیره ارائه می&zwnj;دهند که به بازیابی بیمار کمک می&zwnj;کند. اطلاعاتی که آنها در مورد وضعیت بیمار ارائه می&zwnj;کنند، نقش به سزایی در شناخت علائم و درمان آنها دارد. روانپزشک تنها از درمان&zwnj;هایی استفاده می&zwnj;کند که سلامت و اثربخشی آنها ثابت شده باشد.<br />
روانپزشکان توضیح می&zwnj;دهند که:</p>

<p>چرا این شیوه درمان را توصیه می&zwnj;کند؟</p>

<p>روند درمان چگونه کار می&zwnj;کند؟</p>

<p>درمان مورد نظر چه عوارضی دارد؟</p>

<p>خطرات احتمالی درمان کدامند؟</p>

<p>درمان چقدرهزینه دارد؟</p>

<p>موافقت با شیوه درمان پیشنهادی پزشک، به شما بستگی دارد.<br />
روانپزشکان چه تحصیلاتی دارند؟<br />
روانپزشکان حداقل 11 سال یا بیشتر آموزش می&zwnj;بینند. آنها ابتدا در دانشگاه مدرک پزشکی می&zwnj;گیرند. سپس، حداقل 1 یا 2 سال دیگر در بیمارستان آموزش می&zwnj;بینند. در ادامه، برای آنکه به یک روانپزشک تبدیل شوند، باید 5 سال آموزش ویژه ببینند.<br />
روانپزشکان کجا کار می&zwnj;کنند؟<br />
روانپزشکان در بیمارستان&zwnj;های عمومی و خصوصی، مؤسسات خدمات بهداشت روانی و مطب&zwnj;های خصوصی کار می&zwnj;کنند. آنها همچنین در زمینه&zwnj;های تحقیقاتی، مشاوره امور حقوقی و تدریس نیز فعالیت دارند. این یعنی آنها در ادارات دولتی، مراکز تحقیقاتی و دانشگاه&zwnj;ها کار می&zwnj;کنند.<br />
بسیاری از روانپزشکان چندین شغل مختلف دارند. آنها ممکن است بخشی از روز را در یک بیمارستان عمومی باشند و باقی روز را به صورت خصوصی کار کنند.<br />
زمینه&zwnj;های فوق تخصص در روانپزشکی<br />
برخی روانپزشکان بر یک زمینه خاص تمرکز دارند؛ برای مثال:</p>

<p>روانپزشکی کودکان و نوجوانان</p>

<p>روانپزشکی بزرگسالان</p>

<p>روانپزشکی سالمندان</p>

<p>روانپزشکی اعتیاد</p>

<p>روانپزشکی حقوقی (مربوط به قانون)</p>",,"2019-11-15 08:38:29","2019-11-16 15:29:39"
2,پزشکی,pezeshki,,,"2019-11-15 08:38:44","2019-11-15 08:38:44"
3,قضایی,ghazaii,,,"2019-11-15 08:38:58","2019-11-15 08:38:58"
4,مهندسی,mohandesi,,,"2019-11-15 08:39:10","2019-11-15 08:39:10"
5,بازرگانی,bazargani,,,"2019-11-15 08:39:23","2019-11-15 08:39:23"
6,بیمه,bime,,,"2019-11-15 08:39:32","2019-11-15 08:39:32"
7,"مشاوره فردی",moshavere-fardi,,1,"2019-11-15 08:40:21","2019-11-15 08:40:21"
8,"مشاوره کودک",moshavere-koodak,,1,"2019-11-15 08:40:31","2019-11-15 08:40:31"
9,"مشاوره نوجوان",moshavere-nojavan,,1,"2019-11-15 08:40:45","2019-11-15 08:40:45"
10,"مشاوره خانواده",moshavere-khanevade,,1,"2019-11-15 08:41:10","2019-11-15 08:41:10"
